アルバム,,,,,,,,,,
,,,,,,,,,,
,,アルバム,,,,,予告編,,,公式
,No,アルバム名,発売日,URL,動画ID,通常版プレイリスト,公開日,URL,予告編ID,URL
,1,正しい偽りからの起床,2018/11/14,https://www.youtube.com/playlist?list=PLn4Dv716EsE2VkKVbP0D9RowcelVrFoQh,PLn4Dv716EsE2VkKVbP0D9RowcelVrFoQh,秒針を噛む，ヒューマノイド，サターン，雲丹と栗，脳裏上のクラッカー，君がいて水になる，秒針を噛む(インスト)，ヒューマノイド(インスト)，サターン(インスト)，雲丹と栗(インスト)，脳裏上のクラッカー(インスト)，君がいて水になる(インスト),-,-,-,5
,2,今は今で誓いは笑みで,2019/06/12,https://www.youtube.com/playlist?list=PLn4Dv716EsE0XzE_5knoo00oO2YgBEwuS,PLn4Dv716EsE0XzE_5knoo00oO2YgBEwuS,勘冴えて悔しいわ，正義，またね幻，マイノリティ脈絡，彷徨い酔い温度，眩しいDNAだけ，勘冴えて悔しいわ(インスト)，正義(インスト)，またね幻(インスト)，マイノリティ脈絡(インスト)，彷徨い酔い温度(インスト)，眩しいDNAだけ(インスト),-,-,-,8
,3,潜潜話,2019/10/30,https://www.youtube.com/playlist?list=PLn4Dv716EsE3bEWUnkF9XkU3GJSJSYR15,PLn4Dv716EsE3bEWUnkF9XkU3GJSJSYR15,脳裏上のクラッカー，勘冴えて悔しいわ，居眠り遠征隊，ハゼ馳せる果てるまで，蹴っ飛ばした毛布，Dear. Mr「F」，こんなこと騒動，眩しいDNAだけ，ヒューマノイド，グラスとラムレーズン，正義，優しくLAST SMILE，秒針を噛む,2019/10/23,https://www.youtube.com/watch?v=cAz5qF-oazY,cAz5qF-oazY,9
,4,朗らかな皮膚とて不服,2020/08/05,https://www.youtube.com/playlist?list=PLn4Dv716EsE2wy5rxaOUGKMPebOKJuOxT,PLn4Dv716EsE2wy5rxaOUGKMPebOKJuOxT,低血ボルト，お勉強しといてよ，Ham，JK BOMBER，マリンブルーの庭園，MILABO，Bonus Track - 蹴っ飛ばした毛布 [Bathroom Twin Piano Live(2020.05.06) ver.],-,-,-,11
,5,ぐされ,2021/02/10,https://www.youtube.com/playlist?list=PLn4Dv716EsE2XV8Y0pv0VsFX4X6VYuuLn,PLn4Dv716EsE2XV8Y0pv0VsFX4X6VYuuLn,胸の煙，正しくなれない，お勉強しといてよ，勘ぐれい，はゔぁ，機械油，暗く黒く，MILABO，ろんりねす，繰り返す収穫，過眠，低血ボルト，奥底に眠るルーツ，Bonus Track 暗く黒く[Twin Piano Live ver.],2021/01/31,https://www.youtube.com/watch?v=ER4Xykgdono,ER4Xykgdono,16
,6,伸び仕草懲りて暇乞い,2022/02/16,https://www.youtube.com/playlist?list=PLn4Dv716EsE3zJvvdbVRfj1XrMgSmn2oe,PLn4Dv716EsE3zJvvdbVRfj1XrMgSmn2oe,違う曲にしようよ，袖のキルト，あいつら全員同窓会，猫リセット，夜中のキスミ，ばかじゃないのに,2022/02/04,https://www.youtube.com/watch?v=jMf9X80eHe8,jMf9X80eHe8,26
,7,沈香学,2023/06/07,https://www.youtube.com/playlist?list=PLn4Dv716EsE1JirW5BK9FrkecBEhOZ1wv,PLn4Dv716EsE1JirW5BK9FrkecBEhOZ1wv,花一匁，残機，猫リセット，綺羅キラー(feat. Mori Calliope)，馴れ合いサーブ，あいつら全員同窓会，夏枯れ，袖のキルト，不法侵入，ばかじゃないのに，消えてしまいそうです，ミラーチューン，上辺の私自身なんだよ,2023/06/01,https://www.youtube.com/watch?v=ZdKHmdIw-50,ZdKHmdIw-50,29
,8,虚仮の一念海馬に託す,2024/10/23,https://www.youtube.com/playlist?list=PLn4Dv716EsE1GN8Y3xDyVlmEjSKl3FcbE,PLn4Dv716EsE1GN8Y3xDyVlmEjSKl3FcbE,虚仮にしてくれ，TAIDADA，クズリ念，海馬成長痛，嘘じゃない，Blues in the Closet,2024/08/25,https://www.youtube.com/watch?v=c43iTCFsjz4,c43iTCFsjz4,31
,9,形藻土,2026/03/25,-,-,虚仮にしてくれ，TAIDADA，クズリ念，海馬成長痛，嘘じゃない，Blues in the Closet,-,-,-,36