アーティファクト,,,,,,,,
,,,,,,,,
,,曲,,,アーティファクト,,,
,No,曲名,アルバム名,インデックス,アーティファクト名,ひとこと,サイズ,パズル
,1,秒針を噛む,潜潜話,1,さかなの煮つけ,偽りの生活でも、健康なたべもの,5,1111100000111110000011111
,2,秒針を噛む,潜潜話,2,壁掛け時計,心臓と秒針が重なる<br>うるさい鼓動と無為な時間,5,1111100000111110000011111
,3,秒針を噛む,潜潜話,3,秒針にら,"偽りの自己を見つめる、""病身""の少女",5,1111100000111110000011111
,4,秒針を噛む,潜潜話,4,柿原クリムント,自嘲と自戒、そして喪失への案内人,5,1111100000111110000011111
,5,秒針を噛む,潜潜話,5,うにぐりくん(秒針),他者との距離感を大事にしたい、純粋な気持ち,5,1111100000111110000011111
,6,秒針を噛む,潜潜話,6,接吻,期待、依存、そして偽り<br>タンポポの綿毛には「別離」の意味があります,5,1111100000111110000011111
,7,秒針を噛む,潜潜話,7,最後の晩餐,偽りの食卓<br>最後の話し合い,5,1111100000111110000011111
,8,脳裏上のクラッカー,潜潜話,1,うにぐりくん(脳裏上),届かなくても、この距離をつなぎとめていてほしい,5,1111100000111110000011111
,9,脳裏上のクラッカー,潜潜話,2,インスタントカメラ,距離をつなぎとめておくための、ネタ探し,5,1111100000111110000011111
,10,脳裏上のクラッカー,潜潜話,3,脳裏上にら,"結局、私は眺めているだけの""観覧者""に過ぎなかった",5,1111100000111110000011111
,11,脳裏上のクラッカー,潜潜話,4,情けないほどの雨,理想だけ描いて、何もできない自分<br>天気さえ言い訳にしてしまう,5,1111100000111110000011111
,12,脳裏上のクラッカー,潜潜話,5,戦隊ハートレッド,ただ、私の中で正しさだけを守ってくれている,5,1111100000111110000011111
,13,脳裏上のクラッカー,潜潜話,6,アカシュモクザメ,頭はレーダーになっていて<br>微弱な電気信号も探知できるそうです,5,1111100000111110000011111
,14,脳裏上のクラッカー,潜潜話,7,ゾートロープ,クラッカー食べて、自分をごまかすループ,5,1111100000111110000011111
,15,ヒューマノイド,潜潜話,1,しゃくま男,小さな善意に隠れて<br>膨張する悪,5,1111100000111110000011111
,16,ヒューマノイド,潜潜話,2,桃味の炭酸水,「私たちなら、きっと大丈夫」<br>そんな甘い想像に逃避した,5,1111100000111110000011111
,17,ヒューマノイド,潜潜話,3,ヒューマノイド,ヒトを模したプログラムがあるならば<br>それはイノチと呼べるだろうか,5,1111100000111110000011111
,18,ヒューマノイド,潜潜話,4,対峙,「私と同じことを感じてほしい」<br>間違った期待が、崩壊の始まりだった,5,1111100000111110000011111
,19,ヒューマノイド,潜潜話,5,ヒュマにら,『憂い』<br>プログラムでは説明できない部分,5,1111100000111110000011111
,20,眩しいDNAだけ,潜潜話,,,,,
,21,眩しいDNAだけ,潜潜話,,,,,
,22,眩しいDNAだけ,潜潜話,,,,,
,23,眩しいDNAだけ,潜潜話,,,,,
,24,眩しいDNAだけ,潜潜話,,,,,
,25,正義,潜潜話,,,,,
,26,勘冴えて悔しいわ,潜潜話,,,,,
,27,蹴っ飛ばした毛布,潜潜話,,,,,
,28,こんなこと騒動,潜潜話,,,,,
,29,ハゼ馳せる果てるまで,潜潜話,,,,,
,30,Dear Mr.「F」,潜潜話,,,,,